Store Name,Store Link,Name,Phone,Email,Link
comput_24,https://www.ebay.com/usr/comput_24?_trksid=p4429486.m3561.l2559,Computer Bitz,, computer-bitz@outlook.com,https://www.ebay.com/itm/364230250863?hash=item54cdd0916f:g:iDIAAOSwlHRjmIu4&amdata=enc%3AAQAIAAAA4Fg%2BZ6eGQE3kCW94nvABbzHZg69YIj9btlTTbuysxCG%2Fofm7rg2aTVkr7feQ4A5FhKemEV0jyzGmqb80HU5Z1XkKpYAfXuVuyOQ3WESWxzDBcEyaefZUVVwwl8tG5GqepdWknhhEtmJRmcr%2BeiAeBES4BTl60zjNa5nLuOS%2BQwNH1H9mnTq6jouiydXc7pdwYa1A2nwrPjSLtQu%2Fif7JW59ul0OZjX8M%2FGjTlvRZIYfQz5x23gPoPmf2KZO%2BCcx9UAVKu6dcY92dKxa%2Bt1H2ean4qeVDbdiggI1RBiFoH1dc%7Ctkp%3ABk9SR5SboNzjYg
birmingham-av,https://www.ebay.com/usr/birmingham-av?_trksid=p4429486.m3561.l2559,BIRMINGHAM AV LTD,, birminghamav@gmail.com,https://www.ebay.com/itm/115890323278?hash=item1afb99ff4e:g:5IsAAOSwaVJk3WIk&amdata=enc%3AAQAIAAAA4BWct1GKdTP0p5f577bFx2MzFaKS%2B9nAkZB2KFRHGvN3pZlVo1ub089QcEiHOnYPNoi1%2Bw5c6YrjRwHMEF7nWjvzKdChzfGIXAapH0AKkBV64L9%2FgntE0tcfddIav6ZTIlaQA196TGK90N7Fydhm6jBhxSjNbLKp0mVuDXlrmRQOLjjHx8BtC4Yzrl98dPdTMawoUk7b2l%2BqGplDoAYegeRqL63xAQn8S5odxaUOe3jaGTF5d1tO8wMr8O8IrL7w5ViRYdJUPMZkGpz2efn%2B47lwV%2BOe%2BX0s%2Ft030ego05h4%7Ctkp%3ABFBMkpug3ONi
recycly.tech,https://www.ebay.com/usr/recycly.tech?_trksid=p4429486.m3561.l2559,Recycly Tech Ltd, 7442220999, recyclytech@outlook.com,https://www.ebay.com/itm/175799205481?hash=item28ee72fe69:g:cMYAAOSwwFFkKC31&amdata=enc%3AAQAIAAAA4MKLFv0pOyXRa2QweCddduF7SiLtWYO518X6OHUXU7cYJQQeNBm5Ln6D8Xp9QGs1ixtpGD%2B%2BoYEplr5rN8VNfjNvOxVfe8YYBedUz7a%2FBTqNnW%2Bgr1bhvx9m2x5gC2aPrnSYUe32Qtp5BDdVSCFII%2BgOZE1lunK4dtPnAW4P5oZMLXwYEZvMlEeRnNfXL8aRT7%2BLiQwuPb3gQRnzJmkN54D5VY%2Bj4MWeYDHwjToTGoSQXTzhJk6GUbFlPiNsAwOVhKOz2hNdP6GoHfOdnchMZcKgBwsv2DA94jnCD1z5LOz2%7Ctkp%3ABFBMkpug3ONi
ri-services,https://www.ebay.com/usr/ri-services?_trksid=p4429486.m3561.l2559,Resolve IT Services LTD, 01278588410, sales@riservices.co.uk,https://www.ebay.com/itm/186021136907?hash=item2b4fb94a0b:g:yGIAAOSwTkpkkZ9R&amdata=enc%3AAQAIAAAA4GDD34xXKGnAda2tRg6OPXTlIAnGNhcK71ucfDqbOp81BD04gl%2B8WpIvtAfKMszR1wvwmsb2VXVcBJVlNx3jl4XL8sRLTzLfTAr%2BsbkenMtODPa2q1ai92EXEDsvZ5SqHlasoTCp%2FJVWVMCTkydPZTMPYLm9Qrjgy%2BPP%2FP1jl%2FEqOSg5M2fxlQ9qEwjudHnVN9bMMZCihYgy1vKYcVaVpR%2B6uExhXQv1azVHDgn9y%2Blos%2FjjfVQkwG2M54ORjAow6HkGCqdaEzuzAgQ54WA8FvG9IuyAh3QVHLy2z%2BYXRrVU%7Ctkp%3ABFBMkpug3ONi
kel-tel,https://www.ebay.com/usr/kel-tel?_trksid=p4429486.m3561.l2559,To Recycle LTD, 07500470000, kelly_705@hotmail.com,https://www.ebay.com/itm/276010391424?hash=item4043805780:g:lbMAAOSwf3xk5NYW&amdata=enc%3AAQAIAAAA4HlG8ipDj1PswTD17nmgirXNEtXI7rTdu8DQKcBisVtDkT88KXfvK%2FKqL%2B%2FAFQ%2FNG0OvASZY5Cf41WNIltyBaZZbSFpQgpkU%2B6GUG5c7ui8iqdHJiS7YDLS6JCFh5ChxF%2F8ViFFaYu6wQxH9N5chRR8UHdildUQozALlrcaGm7xGyAL%2BuJCI64Ue%2FS3LIcQ1v8KGYnuXS6UEa2%2FNxsTvxYosq%2BchiqhHqLR9GfpnyksX633e8Pwn9DpVnDWB%2BBOy%2FP6XBf2v2em2MLwcd35gBNETCtmrTdWZc7t4jc4%2Bh%2FsE%7Ctkp%3ABk9SR5aboNzjYg
mobstars,https://www.ebay.com/usr/mobstars?_trksid=p4429486.m3561.l2559,Mobstars Limited, 07754758393, sales@mobstars.co.uk,https://www.ebay.com/itm/175828116101?hash=item28f02c2285:g:PZwAAOSwcrdkujJE&amdata=enc%3AAQAIAAAA4EdEdvGAzsBuYnmh3G9d6ZXYLkZVsxdqt96Oj9KjXjL4VWBGT9J1hP%2Bv%2BBXIH6Q4cgUJ1yMHnZemao3qZOKRaalnKDx9UV6lU1w3xxnm1GCxD2DTcl9n7H6oTL7ZyPSb8TzhX5KR3WBlqE2yMw7rGX5RrDZtVYkvZ90fQEfv4ndxApuGy5E0ZNfunXMshpTBo93SYnqr6IJu7IAirWPrLBWoiBVNBzbdz7fSrbYJiQFckY%2BIv1VE8Nxk9Or9wwBX44pB6lTO0cTwbYh3JIqi5gg%2FI%2BRHIiDqLcKEje%2BRiOiM%7Ctkp%3ABFBMlJug3ONi
timeandtrend2013,https://www.ebay.com/usr/timeandtrend2013?_trksid=p4429486.m3561.l2559,Juwelier Bucher GbR, 0376512802, info@juwelier-bucher.de,https://www.ebay.com/itm/255410438677?hash=item3b77a60215:g:PlwAAOSwrmNkzfE-
jshoplondon,https://www.ebay.com/usr/jshoplondon?_trksid=p4429486.m3561.l2559,jshoplondon, 07946343498, lailajp@hotmail.com,https://www.ebay.com/itm/265685008093?hash=item3ddc0f7edd:g:4V8AAOSwnTpieaeh&amdata=enc%3AAQAIAAAAwJkTeTefI%2B%2B8%2BZmQkjKUvlZHt%2BEaKRtF9YCQKkZVx4HF9mmo7z%2BUs9ajqkp3C5OZvm8g1uj2CF2CS%2F4od4MXX%2FodAWVidvOrDzpFi5Eibf7vzlibMWHaOLgRVQldbsw6su81httwJJTCG2Hn5NrZVyd0P1q4aj%2BV2jHbjsN2jrSnEHqgBHP9BqOM4icYSCGnW6ohXSNc3EZ0LeREveibZO1wo6u%2Fg1rZYBMRorgY6Rg9eTFQyOUleU3zlt34wsWVJw%3D%3D%7Ctkp%3ABk9SR96FudzjYg
ashmo2000,https://www.ebay.com/usr/ashmo2000?_trksid=p4429486.m3561.l2559,Ashmoo LTD, 07515969241, shifaat.rasool@gmail.com,https://www.ebay.com/itm/284607021590?hash=item4243e68216:g:RrIAAOSwNstjf29F&amdata=enc%3AAQAIAAAA4HUzb9SCvGEYM2EB8dXAHx%2BHuMA6EeJI8A2yKmSrtV7GeVN4LebOXRoJfzP3cuSgZGSlRM8q9xYsK7sDEbopGHoOlYCAemZXkaOVY0WrPIshXc54MuYeGYODTGnRh%2B2EO4FTQ9ABa6%2FfnrEZxIhEKuAEi8ZHrxPpRSaQYwXvUjZpdHKe%2Fm7Sldej6PkpcNWC8MmPuIHNjCBWcpcdb1526gQg3qhWTsh7K2i0ikCJpPZ%2F9OmtvOkUMGN07FH2pZGsAj1W%2Fc7iJ4OWnOfhNBr40aobU0m8xHaggY0CL1mtS6F5%7Ctkp%3ABk9SR96FudzjYg
tme404,https://www.ebay.com/usr/tme404?_trksid=p4429486.m3561.l2559,SHICHAO HONGKONG TRADING LIMITED, 16513682327, tmei98@hotmail.com,https://www.ebay.com/itm/314560122070?hash=item493d3e8cd6:g:P-0AAOSwXBdkTM2a&amdata=enc%3AAQAIAAAAwJr4CFPV3rRFgUx%2FJlQWdlUhgu3N9%2BFqBVJb%2FCwdDt6lpCf6qKfq8trpL5ew27rkrjCVznnlJZ01ct8hC7%2BG1G0Jolm6ZQ4MmBldhgwB2YDcQ5vPjG0qduytnAZscSExFKOl3%2BJCdEExj%2FtL0tVCb8qmvt9AfJ4f58Nm%2B%2BSRPgg03lUCtiG432K5mxroCznSczgFQM71SvcojlntQEpUx%2FASi%2BXc5lgdJsZ2GsaEnt8ipCDbFCARPtbMXBcBQdqMCQ%3D%3D%7Ctkp%3ABk9SR5iAxtzjYg
